,G1: Textbook,G2: NotebookLM,G3: Web Search,G4: LLM
A001,2.9285714285714284,2.3846153846153846,3.2,4.0
A002,3.0,2.769230769230769,3.4,4.0
A003,2.7857142857142856,2.5384615384615383,1.6,2.5
A101,3.0,2.923076923076923,3.2,3.5
A102,3.2857142857142856,3.076923076923077,2.8,3.5
A103,3.142857142857143,3.230769230769231,3.2,3.0
A201,2.7142857142857144,3.0,3.6,4.0
A202,3.2857142857142856,3.6153846153846154,3.0,3.0
A203,2.5714285714285716,3.076923076923077,3.2,4.0
A301,3.4285714285714284,3.1538461538461537,3.0,4.0
A302,3.5714285714285716,3.1538461538461537,3.2,3.5
A303,3.142857142857143,3.6153846153846154,3.6,4.0
A401,3.5,3.3846153846153846,3.0,4.0
A402,3.0,3.3846153846153846,3.2,4.0
A403,3.357142857142857,3.076923076923077,3.6,3.5
A501,3.2142857142857144,3.3846153846153846,3.0,4.0
A502,3.2857142857142856,3.5384615384615383,3.4,4.0
A503,3.4285714285714284,3.230769230769231,3.4,4.0
A601,3.357142857142857,3.3076923076923075,3.0,4.0
A602,3.0,3.1538461538461537,2.0,4.0
