CASE,Group,Group_Label,Group_Label_Short,Confidence,Method,Rule_Applied,A001,A002,A003,A101,A102,A103,A201,A202,A203,A301,A302,A303,A401,A402,A403,A501,A502,A503,A601,A602,A0_score,A1_score,A2_score,A3_score,A4_score,A5_score,A6_score,HE_index,TIME_SUM,PI01,PI02,PI04,word_count,url_count,cited_refs,fonti_refs,he_keywords,trivial_answers,is_english,report_format,copy_paste,Manual_Notes
47,2,Information Extraction (NotebookLM),G2: NotebookLM,HIGH,Hard rule,RULE B: [n] citations or fonti_refs >= 3,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,3.6666666666666665,3.6666666666666665,4.0,4.0,4.0,4.0,3.9,410,1,2,2,1889,0,0,12,12,0,0,0,0,"Uses ""Sulla base delle fonti fornite""; systematic HE, no URLs"
48,2,Information Extraction (NotebookLM),G2: NotebookLM,HIGH,Hard rule,RULE B: [n] citations or fonti_refs >= 3,2,1,1,1,1,1,1,2,2,1,2,1,1,3,1,3,2,2,2,2,1.3333333333333333,1.0,1.6666666666666667,1.3333333333333333,1.6666666666666667,2.3333333333333335,2.0,1.6,345,1,1,2,2091,0,34,8,10,0,0,0,0,"Inline [1][2][3] throughout; ""co-evolvere [2,3]""; classic NotebookLM"
49,3,Knowledge Discovery (Web Search),G3: Web Search,HIGH,Hard rule,RULE A: URL found in text,2,3,1,3,2,2,3,3,3,3,3,3,3,4,3,3,3,3,3,1,2.0,2.3333333333333335,3.0,3.0,3.3333333333333335,3.0,2.0,2.7,582,1,1,2,1329,1,0,0,0,0,0,0,0,"Cites 2meet2biz.com, across.it, radar-academy.com with pasted excerpts"
50,1,Knowledge Learning (Textbook),G1: Textbook,MEDIUM,Soft score,Margin=0 over runner-up,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.6666666666666665,3.3333333333333335,4.0,4.0,4.0,4.0,4.0,3.85,610,1,1,2,349,0,0,0,0,0,0,0,0,Invents creative falegnameria scenario; personal analogies; no source
51,1,Knowledge Learning (Textbook),G1: Textbook,MEDIUM,Soft score,Margin=0 over runner-up,3,4,2,4,4,4,3,3,3,3,4,3,3,2,3,3,3,3,4,2,3.0,4.0,3.0,3.3333333333333335,2.6666666666666665,3.0,3.0,3.15,507,1,1,2,582,0,0,0,0,0,0,0,0,General synthesis; no HE jargon; no URLs; fluent generative style
53,1,Knowledge Learning (Textbook),G1: Textbook,HIGH,Hard rule,RULE C: 3+ trivial answers (gave up),2,3,2,3,4,4,3,4,2,4,4,4,4,4,4,3,4,4,4,2,2.3333333333333335,3.6666666666666665,3.0,4.0,4.0,3.6666666666666665,3.0,3.4,529,1,2,2,703,0,0,2,12,4,0,0,0,"Uses Schumpeter + HE terms; Q3–Q6 answered as ""3"",""4"",""5"",""6"""
54,1,Knowledge Learning (Textbook),G1: Textbook,MEDIUM,Soft score,Margin=0 over runner-up,4,2,3,3,4,3,2,3,4,3,3,3,3,2,3,2,3,4,4,2,3.0,3.3333333333333335,3.0,3.0,2.6666666666666665,3.0,3.0,3.0,685,2,1,2,416,0,0,0,0,0,0,0,0,Centres on ceramic jewelry examples; personal tone; no source refs
55,2,Information Extraction (NotebookLM),G2: NotebookLM,MEDIUM,Soft score,Margin=1 over runner-up,1,4,4,3,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3.0,3.3333333333333335,4.0,3.6666666666666665,4.0,4.0,4.0,3.7,365,1,2,2,880,0,0,0,0,0,0,0,0,Orecchiette-in-Puglia analogy; no HE/URLs; original synthesis
56,2,Information Extraction (NotebookLM),G2: NotebookLM,HIGH,Soft score,Margin=5 over runner-up,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.3333333333333335,4.0,4.0,4.0,4.0,4.0,4.0,3.9,824,2,2,2,2068,0,0,0,0,0,0,0,0,Written ENTIRELY in English; sophisticated original reasoning
57,3,Knowledge Discovery (Web Search),G3: Web Search,HIGH,Hard rule,RULE A: URL found in text,4,4,2,3,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,2,3.3333333333333335,3.0,4.0,4.0,4.0,3.6666666666666665,3.0,3.6,609,2,2,2,2799,8,0,0,0,0,0,1,1,Pastes Italian craft campaign article; Q5+Q6 have SAME paragraph (copy-paste)
