Score,G_A,G_B,Label_A,Label_B,U_statistic,p_raw,p_bonferroni,Significance,Mean_A,Mean_B
A0_score,1,2,G1: Textbook,G2: NotebookLM,108.0,0.418,1.0,n.s.,2.9,2.56
A0_score,1,3,G1: Textbook,G3: Web Search,41.0,0.606,1.0,n.s.,2.9,2.73
A0_score,1,4,G1: Textbook,G4: LLM,8.0,0.372,1.0,n.s.,2.9,3.5
A0_score,2,3,G2: NotebookLM,G3: Web Search,32.0,1.0,1.0,n.s.,2.56,2.73
A0_score,2,4,G2: NotebookLM,G4: LLM,6.5,0.301,1.0,n.s.,2.56,3.5
A0_score,3,4,G3: Web Search,G4: LLM,1.5,0.237,1.0,n.s.,2.73,3.5
A1_score,1,2,G1: Textbook,G2: NotebookLM,91.5,1.0,1.0,n.s.,3.14,3.08
A1_score,1,3,G1: Textbook,G3: Web Search,40.5,0.638,1.0,n.s.,3.14,3.07
A1_score,1,4,G1: Textbook,G4: LLM,13.0,0.935,1.0,n.s.,3.14,3.33
A1_score,2,3,G2: NotebookLM,G3: Web Search,37.5,0.646,1.0,n.s.,3.08,3.07
A1_score,2,4,G2: NotebookLM,G4: LLM,12.5,1.0,1.0,n.s.,3.08,3.33
A1_score,3,4,G3: Web Search,G4: LLM,3.5,0.685,1.0,n.s.,3.07,3.33
A2_score,1,2,G1: Textbook,G2: NotebookLM,63.0,0.176,1.0,n.s.,2.86,3.23
A2_score,1,3,G1: Textbook,G3: Web Search,26.0,0.412,1.0,n.s.,2.86,3.27
A2_score,1,4,G1: Textbook,G4: LLM,3.5,0.101,0.609,n.s.,2.86,3.67
A2_score,2,3,G2: NotebookLM,G3: Web Search,31.5,0.96,1.0,n.s.,3.23,3.27
A2_score,2,4,G2: NotebookLM,G4: LLM,8.5,0.489,1.0,n.s.,3.23,3.67
A2_score,3,4,G3: Web Search,G4: LLM,3.0,0.543,1.0,n.s.,3.27,3.67
A3_score,1,2,G1: Textbook,G2: NotebookLM,88.0,0.901,1.0,n.s.,3.38,3.31
A3_score,1,3,G1: Textbook,G3: Web Search,45.5,0.337,1.0,n.s.,3.38,3.27
A3_score,1,4,G1: Textbook,G4: LLM,8.0,0.362,1.0,n.s.,3.38,3.83
A3_score,2,3,G2: NotebookLM,G3: Web Search,41.0,0.418,1.0,n.s.,3.31,3.27
A3_score,2,4,G2: NotebookLM,G4: LLM,7.5,0.366,1.0,n.s.,3.31,3.83
A3_score,3,4,G3: Web Search,G4: LLM,1.5,0.223,1.0,n.s.,3.27,3.83
A4_score,1,2,G1: Textbook,G2: NotebookLM,83.0,0.71,1.0,n.s.,3.29,3.28
A4_score,1,3,G1: Textbook,G3: Web Search,33.5,0.924,1.0,n.s.,3.29,3.27
A4_score,1,4,G1: Textbook,G4: LLM,5.0,0.168,1.0,n.s.,3.29,3.83
A4_score,2,3,G2: NotebookLM,G3: Web Search,36.0,0.762,1.0,n.s.,3.28,3.27
A4_score,2,4,G2: NotebookLM,G4: LLM,8.5,0.481,1.0,n.s.,3.28,3.83
A4_score,3,4,G3: Web Search,G4: LLM,1.5,0.223,1.0,n.s.,3.27,3.83
A5_score,1,2,G1: Textbook,G2: NotebookLM,80.5,0.619,1.0,n.s.,3.31,3.38
A5_score,1,3,G1: Textbook,G3: Web Search,32.5,0.848,1.0,n.s.,3.31,3.27
A5_score,1,4,G1: Textbook,G4: LLM,2.0,0.06,0.358,n.s.,3.31,4.0
A5_score,2,3,G2: NotebookLM,G3: Web Search,34.5,0.88,1.0,n.s.,3.38,3.27
A5_score,2,4,G2: NotebookLM,G4: LLM,4.0,0.134,0.802,n.s.,3.38,4.0
A5_score,3,4,G3: Web Search,G4: LLM,1.0,0.155,0.933,n.s.,3.27,4.0
A6_score,1,2,G1: Textbook,G2: NotebookLM,81.0,0.636,1.0,n.s.,3.18,3.23
A6_score,1,3,G1: Textbook,G3: Web Search,52.5,0.107,0.641,n.s.,3.18,2.5
A6_score,1,4,G1: Textbook,G4: LLM,3.0,0.085,0.508,n.s.,3.18,4.0
A6_score,2,3,G2: NotebookLM,G3: Web Search,49.0,0.108,0.647,n.s.,3.23,2.5
A6_score,2,4,G2: NotebookLM,G4: LLM,5.0,0.177,1.0,n.s.,3.23,4.0
A6_score,3,4,G3: Web Search,G4: LLM,0.0,0.079,0.472,n.s.,2.5,4.0
HE_index,1,2,G1: Textbook,G2: NotebookLM,81.5,0.662,1.0,n.s.,3.15,3.15
HE_index,1,3,G1: Textbook,G3: Web Search,38.0,0.816,1.0,n.s.,3.15,3.08
HE_index,1,4,G1: Textbook,G4: LLM,1.5,0.056,0.334,n.s.,3.15,3.72
HE_index,2,3,G2: NotebookLM,G3: Web Search,38.5,0.587,1.0,n.s.,3.15,3.08
HE_index,2,4,G2: NotebookLM,G4: LLM,8.0,0.443,1.0,n.s.,3.15,3.72
HE_index,3,4,G3: Web Search,G4: LLM,0.5,0.118,0.708,n.s.,3.08,3.72
