CASE,Question,Char_length,Word_count,Unique_words,TTR,Has_bullets,Has_citations,Avg_word_len,HE_index,Gender,Age
47,Innovate a craft,2393,329,211,0.641,1,0,6.28,3.9,Female,Under 30
48,Innovate a craft,2020,279,201,0.72,1,1,6.24,1.6,Male,Under 30
49,Innovate a craft,1564,221,167,0.756,1,0,6.05,2.7,Male,Under 30
50,Innovate a craft,617,83,73,0.88,0,0,6.45,3.85,Male,Under 30
51,Innovate a craft,793,104,86,0.827,0,0,6.56,3.15,Male,Under 30
53,Innovate a craft,2962,411,261,0.635,1,0,6.18,3.4,Female,Under 30
54,Innovate a craft,721,98,81,0.827,0,0,6.32,3.0,Male,30+
55,Innovate a craft,1024,150,116,0.773,0,0,5.83,3.7,Female,Under 30
56,Innovate a craft,1954,284,203,0.715,1,0,5.87,3.9,Female,30+
57,Innovate a craft,4537,660,386,0.585,0,0,5.87,3.6,Female,30+
58,Innovate a craft,481,64,51,0.797,1,0,6.52,3.65,Male,30+
59,Innovate a craft,397,52,50,0.962,0,0,6.65,3.2,Male,Under 30
60,Innovate a craft,702,80,68,0.85,1,0,7.79,3.6,Female,Under 30
61,Innovate a craft,2275,326,222,0.681,0,0,5.98,3.55,Male,Under 30
62,Innovate a craft,455,63,56,0.889,0,0,6.24,2.9,Female,Under 30
63,Innovate a craft,3191,441,284,0.644,1,0,6.24,2.15,Male,Under 30
64,Innovate a craft,803,114,92,0.807,1,0,6.05,3.7,Female,Under 30
65,Innovate a craft,1522,205,149,0.727,0,0,6.43,2.9,Male,30+
66,Innovate a craft,3351,466,298,0.639,1,0,6.1,2.65,Male,Under 30
68,Innovate a craft,483,65,57,0.877,0,0,6.45,3.15,Female,Under 30
69,Innovate a craft,392,58,47,0.81,0,0,5.78,3.5,Male,Under 30
70,Innovate a craft,1796,246,163,0.663,1,0,6.3,3.55,Female,Under 30
71,Innovate a craft,828,117,96,0.821,0,0,6.09,3.75,Female,30+
72,Innovate a craft,3186,456,292,0.64,1,1,5.96,2.95,Male,Under 30
74,Innovate a craft,1235,162,122,0.753,1,0,6.62,3.15,Female,Under 30
75,Innovate a craft,1060,150,107,0.713,0,0,6.07,3.5,Male,Under 30
77,Innovate a craft,640,88,70,0.795,1,0,6.28,2.55,Male,Under 30
78,Innovate a craft,1148,168,115,0.685,0,0,5.83,3.15,Male,30+
79,Innovate a craft,74,11,11,1.0,0,0,5.82,3.85,Female,Under 30
