CASE,STARTED,TIME_SUM,FINISHED,MISSING,A001,A002,A003,A101,A102,A103,A201,A202,A203,A301,A302,A303,A401,A402,A403,A501,A502,A503,A601,A602,A0_score,A1_score,A2_score,A3_score,A4_score,A5_score,A6_score,HE_index,Salus_score,Humanitas_score,Humus_score,HE_level,PI01,PI02,PI04,Age_label,Gender_label,Education_label
47,2026-05-06 15:11:39,410.0,1,0.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.6666666666666665,3.6666666666666665,4.0,4.0,4.0,4.0,3.9,3.6666666666666665,3.888888888888889,4.0,Level 3 – Advanced HE,1,2,2,Under 30,Female,High school
48,2026-05-06 15:11:40,345.0,1,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,1.3333333333333333,1.0,1.6666666666666667,1.3333333333333333,1.6666666666666667,2.3333333333333335,2.0,1.6,1.0,1.777777777777778,1.6666666666666667,Level 1 – Nascent HE,1,1,2,Under 30,Male,High school
49,2026-05-06 15:11:44,582.0,1,0.0,2.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,2.3333333333333335,3.0,3.0,3.3333333333333335,3.0,2.0,2.7,2.3333333333333335,3.0,3.3333333333333335,Level 2 – Developing HE,1,1,2,Under 30,Male,High school
50,2026-05-06 15:11:44,610.0,1,0.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.6666666666666665,3.3333333333333335,4.0,4.0,4.0,4.0,4.0,3.85,3.3333333333333335,4.0,4.0,Level 3 – Advanced HE,1,1,2,Under 30,Male,High school
51,2026-05-06 15:11:44,507.0,1,0.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,3.3333333333333335,2.6666666666666665,3.0,3.0,3.15,4.0,3.111111111111111,2.6666666666666665,Level 2 – Developing HE,1,1,2,Under 30,Male,High school
53,2026-05-06 15:11:44,529.0,1,0.0,2.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,2.3333333333333335,3.6666666666666665,3.0,4.0,4.0,3.6666666666666665,3.0,3.4,3.6666666666666665,3.5555555555555554,4.0,Level 3 – Advanced HE,1,2,2,Under 30,Female,High school
54,2026-05-06 15:11:44,685.0,1,0.0,4.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,4.0,2.0,3.0,3.3333333333333335,3.0,3.0,2.6666666666666665,3.0,3.0,3.0,3.3333333333333335,3.0,2.6666666666666665,Level 2 – Developing HE,2,1,2,30+,Male,High school
55,2026-05-06 15:11:44,365.0,1,0.0,1.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.3333333333333335,4.0,3.6666666666666665,4.0,4.0,4.0,3.7,3.3333333333333335,3.888888888888889,4.0,Level 3 – Advanced HE,1,2,2,Under 30,Female,High school
56,2026-05-06 15:11:45,824.0,1,0.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.3333333333333335,4.0,4.0,4.0,4.0,4.0,4.0,3.9,4.0,4.0,4.0,Level 3 – Advanced HE,2,2,2,30+,Female,High school
57,2026-05-06 15:11:46,609.0,1,0.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,3.3333333333333335,3.0,4.0,4.0,4.0,3.6666666666666665,3.0,3.6,3.0,3.888888888888889,4.0,Level 3 – Advanced HE,2,2,2,30+,Female,High school
