,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis
A001,34.0,2.823529411764706,1.2424459804193697,1.0,2.0,3.0,4.0,4.0,-0.34992065057583144,-1.5888331470284955
A002,34.0,3.0294117647058822,1.1142409868727208,1.0,3.0,3.0,4.0,4.0,-0.8987604674193004,-0.5263077539470036
A003,34.0,2.5,1.1612428034157407,1.0,2.0,2.0,4.0,4.0,0.12336647128826482,-1.4516984251744038
A101,34.0,3.0294117647058822,0.7971652092047724,1.0,3.0,3.0,3.75,4.0,-0.8167968347300089,0.8837488441054284
A102,34.0,3.1470588235294117,0.9576598036177777,1.0,3.0,3.0,4.0,4.0,-0.9700061092144021,0.1046232656516013
A103,34.0,3.176470588235294,0.8337788470424283,1.0,3.0,3.0,4.0,4.0,-1.0183017529770169,0.9655182286695916
A201,34.0,3.0294117647058822,0.9995542678628573,1.0,2.0,3.0,4.0,4.0,-0.64190074558599,-0.7015547412609515
A202,34.0,3.3529411764705883,0.9172539036208376,1.0,3.0,4.0,4.0,4.0,-1.038529610201389,-0.3218947138730064
A203,34.0,2.9411764705882355,1.0427578954486505,1.0,2.0,3.0,4.0,4.0,-0.5583003817938581,-0.8758405865575498
A301,34.0,3.2941176470588234,1.000890868773562,1.0,3.0,4.0,4.0,4.0,-1.41399832016813,0.9950836539966015
A302,34.0,3.3529411764705883,0.7337059497355611,2.0,3.0,3.5,4.0,4.0,-0.6769588578378962,-0.7947250651145756
A303,34.0,3.4411764705882355,0.8941282014575491,1.0,3.0,4.0,4.0,4.0,-1.839388162402708,2.904223125165308
A401,34.0,3.411764705882353,0.856973075452147,1.0,3.0,4.0,4.0,4.0,-1.5506712325174272,1.983492551591922
A402,34.0,3.235294117647059,0.923065496524185,2.0,2.0,4.0,4.0,4.0,-0.503144303619138,-1.6848801370153113
A403,34.0,3.2941176470588234,0.8714116643527635,1.0,3.0,3.5,4.0,4.0,-1.2152452354720165,1.0012130369678292
A501,34.0,3.2941176470588234,0.6290643251160329,2.0,3.0,3.0,4.0,4.0,-0.3088026915545164,-0.5596031951742506
A502,34.0,3.4411764705882355,0.7045813917578354,2.0,3.0,4.0,4.0,4.0,-0.8838664235451247,-0.4133544034713412
A503,34.0,3.3823529411764706,0.7391520892561243,2.0,3.0,4.0,4.0,4.0,-0.7639038264327727,-0.7222210299240981
A601,34.0,3.323529411764706,0.8428159235129083,1.0,3.0,4.0,4.0,4.0,-1.0166001276252075,0.1912641249547571
A602,34.0,2.9705882352941178,1.1411130695216647,1.0,2.0,3.5,4.0,4.0,-0.4595372689865944,-1.4006612815497432
