Variable,Score,Mean_Female,Mean_Male,Mann-Whitney U,p-value,Sig,Mean_Under 30,Mean_30+
Gender,A0_score,3.13,2.51,199.5,0.047,*,,
Gender,A1_score,3.29,2.98,160.5,0.537,n.s.,,
Gender,A2_score,3.56,2.75,236.0,0.001,**,,
Gender,A3_score,3.73,3.07,226.0,0.003,**,,
Gender,A4_score,3.67,3.04,230.0,0.002,**,,
Gender,A5_score,3.58,3.21,204.5,0.029,*,,
Gender,A6_score,3.43,2.92,202.5,0.034,*,,
Gender,HE_index,3.49,2.93,227.5,0.003,**,,
Age group,A0_score,,,122.0,0.722,n.s.,2.83,2.67
Age group,A1_score,,,88.5,0.351,n.s.,3.04,3.33
Age group,A2_score,,,84.0,0.266,n.s.,3.03,3.33
Age group,A3_score,,,105.5,0.795,n.s.,3.33,3.44
Age group,A4_score,,,107.0,0.842,n.s.,3.29,3.37
Age group,A5_score,,,125.0,0.631,n.s.,3.39,3.33
Age group,A6_score,,,109.5,0.92,n.s.,3.12,3.22
Age group,HE_index,,,101.0,0.667,n.s.,3.15,3.24
