"section"	"question"	"item"	"type"	"ID"	"description"
"A0"			"section"	"A0"	"Entrepreneurial Motivation"
"A0"	1		"question"	"A001"	"Entrepreneurial Profile Assessment"
"A0"	1	1	"item"	"A001_01"	"To earn money and achieve personal success"
"A0"	1	2	"item"	"A001_02"	"To realize my own idea and gain independence"
"A0"	1	3	"item"	"A001_03"	"To create economic value and address a real need."
"A0"	1	4	"item"	"A001_04"	"To create economic, social, and human value, while also improving the context in which I operate"
"A0"	2		"question"	"A002"	"Entrepreneurial Profile Assessment"
"A0"	2	1	"item"	"A002_01"	"Revenue, growth, and profit"
"A0"	2	2	"item"	"A002_02"	"Customers, market, and positioning"
"A0"	2	3	"item"	"A002_03"	"Profit, quality, and customer satisfaction"
"A0"	2	4	"item"	"A002_04"	"Profit, people’s well-being, the territory, environment, and community"
"A0"	3		"question"	"A003"	"Entrepreneurial Profile Assessment"
"A0"	3	1	"item"	"A003_01"	"An interesting economic opportunity."
"A0"	3	2	"item"	"A003_02"	"A personal passion."
"A0"	3	3	"item"	"A003_03"	"A concrete problem to solve."
"A0"	3	4	"item"	"A003_04"	"A real need that can generate utility, well-being, and shared value"
"A0"	4		"question"	"A004"	"Section 1"
"A1"			"section"	"A1"	"Personal Well-being"
"A1"	1		"question"	"A101"	"Personal Well-being"
"A1"	1	1	"item"	"A101_01"	"Very little: I prioritize work over myself."
"A1"	1	2	"item"	"A101_02"	"I consider it, but only when I am very tired."
"A1"	1	3	"item"	"A101_03"	"I try to find a balance between work and personal life."
"A1"	1	4	"item"	"A101_04"	"I consider it a necessary condition to be a good entrepreneur."
"A1"	2		"question"	"A102"	"Personal Well-being"
"A1"	2	1	"item"	"A102_01"	"The business comes first."
"A1"	2	2	"item"	"A102_02"	"I know balance is important, but I struggle to maintain it."
"A1"	2	3	"item"	"A102_03"	"I try to organize myself so as not to completely sacrifice my personal life."
"A1"	2	4	"item"	"A102_04"	"I consider work–life balance an integral part of my entrepreneurial project."
"A1"	3		"question"	"A103"	"Personal Well-being"
"A1"	3	1	"item"	"A103_01"	"I would continue anyway, even at the cost of exhaustion."
"A1"	3	2	"item"	"A103_02"	"I would try to endure as much as possible."
"A1"	3	3	"item"	"A103_03"	"I would try to manage time, priorities, and responsibilities better."
"A1"	3	4	"item"	"A103_04"	"I would take care of myself, delegate, and reorganize work more sustainably."
"A1"	4		"question"	"A104"	"Section 2"
"A2"			"section"	"A2"	"Ethics and Responsibility"
"A2"	1		"question"	"A201"	"Ethics and Responsibility"
